date,tournament,surface,best_of,player_a,player_b,spread_a,odds_a,spread_b,odds_b,collected_at,event_url
2026-09-01,ATP,Hard,3,Michael Zheng,Fabian Marozsan,-2.5,-104,2.5,-104,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-4f2c-73a2-952c-4ed6378301d1
2026-09-01,ATP,Hard,3,Michael Zheng,Fabian Marozsan,-3.5,104,3.5,-127,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-4f2c-73a2-952c-4ed6378301d1
2026-09-01,ATP,Hard,3,Michael Zheng,Fabian Marozsan,-5.5,156,5.5,-270,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-4f2c-73a2-952c-4ed6378301d1
2026-09-01,ATP,Hard,3,Michael Zheng,Fabian Marozsan,1.5,-245,-1.5,144,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-4f2c-73a2-952c-4ed6378301d1
2026-09-01,ATP,Hard,3,Michael Zheng,Fabian Marozsan,-1.5,-138,1.5,108,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-4f2c-73a2-952c-4ed6378301d1
2026-09-01,ATP,Hard,3,Lorenzo Musetti,Arthur Fery,-5.5,-104,5.5,-100,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-5f59-7c53-84b0-664da0b66509
2026-09-01,ATP,Hard,3,Lorenzo Musetti,Arthur Fery,-6.5,117,6.5,-133,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-5f59-7c53-84b0-664da0b66509
2026-09-01,ATP,Hard,3,Lorenzo Musetti,Arthur Fery,-7.5,163,7.5,-300,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-5f59-7c53-84b0-664da0b66509
2026-09-01,ATP,Hard,3,Lorenzo Musetti,Arthur Fery,-2.5,-257,2.5,170,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-5f59-7c53-84b0-664da0b66509
2026-09-01,ATP,Hard,3,Lorenzo Musetti,Arthur Fery,-3.5,-223,3.5,138,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-5f59-7c53-84b0-664da0b66509
2026-09-01,ATP,Hard,3,Lorenzo Musetti,Arthur Fery,-8.5,257,8.5,-525,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-5f59-7c53-84b0-664da0b66509
2026-09-01,ATP,Hard,3,Ignacio Buse,Marcos Giron,-2.5,-104,2.5,-113,2026-09-01T20:09:03.585845+00:00,https://novig.com/event-markets/01a04883-608b-77c0-b3e6-ab1a0e802aa9
